Name,Value
 Bundar,440
 BuntS Biriyani Palace,441
 Burger King,442
 Burger Lounge,443
 Burgundy  Royal Orchid Suites,444
 Burma Burma,445
 Burp,446
 Burrito Boys,447
 Butter Side Up,448
 Butterly,449
 By 2 Coffee,450
 By The Blue  Grand Mercure,451
 Byblos,452
 Byg Brewski Brewing Company,453
 Byli  Bet You Love It,454
 C K Mega Hot Food,455
 C Sharp Kitchen,456
 Cable Car,457
 CafEleven,458
 Cafe  Elanza,459
 Cafe 99 Kerala Mess,460
 Cafe Aira,461
 Cafe Ajfan,462
 Cafe Aladdin,463
 Cafe Arabica,464
 Cafe At The Atelier,465
 Cafe Azzure,466
 Cafe Beirut,467
 Cafe Bollywood,468
 Cafe Braqa,469
 Cafe Cassia Deli,470
 Cafe Centralis,471
 Cafe Cerrise,472
 Cafe China,473
 Cafe Coffee Day,474
 Cafe Coffee Day The Lounge,475
 Cafe Coffee Day The Square,476
 Cafe Cosy,477
 Cafe DHide,478
 Cafe Daily Bread,479
 Cafe Down The Alley,480
 Cafe Felix,481
 Cafe Grill,482
 Cafe Happytizing,483
 Cafe Idly,484
 Cafe Imroze,485
 Cafe Kaara,486
 Cafe Kabana,487
 Cafe Madhura,488
 Cafe Mamma Mia,489
 Cafe Mandala,490
 Cafe Mangii,491
 Cafe Max,492
 Cafe Medley,493
 Cafe Mist,494
 Cafe Mondo,495
 Cafe MorIsh,496
 Cafe Mozaic  Taj Mg Road Bengaluru,497
 Cafe Noir,498
 Cafe Nosh,499
 Cafe Nukkad,500
 Cafe Of Joy,501
 Cafe Olive,502
 Cafe On The Way,503
 Cafe Orio,504
 Cafe Palmyra,505
 Cafe Palnad,506
 Cafe Petu,507
 Cafe Pink Pajamas,508
 Cafe Poetry,509
 Cafe Potpourri,510
 Cafe Rossini,511
 Cafe Secret Alley,512
 Cafe Shuffle,513
 Cafe Srinidhi,514
 Cafe Terra,515
 Cafe Thulp,516
 Cafe Treat  The Pride Hotel,517
 Cafe Udupi Ruchi,518
 Cafe Vivacity,519
 Cafemoto,520
 Cafesta,521
 Caffe Pascucci,522
 Cake Box,523
 Cake Cafe,524
 Cake Dilim,525
 Cake Genie,526
 Cake House  Story Cafe,527
 Cake Town Cafe,528
 Cakebuy,529
 Cakesta,530
 Cakewala,531
 Cakewalk,532
 Cakezone,533
 Calcutta Victoria Chat House,534
 Calicut Restaurant,535
 California Burrito,536
 Calorie Express,537
 CalvinS,538
 CaneOLa,539
 Canopy,540
 Canopy Flavours,541
 Canton,542
 Caperberry,543
 Caprese  ShangriLa Hotel,544
 Capri Gastrobar,545
 Capsicum Family Restaurant,546
 Caraway Kitchen  Conrad Bengaluru,547
 Carlos Cake Cafe,548
 Carnatic,549
 Carnival De Goa,550
 Carrots,551
 Casa De Goa,552
 Casa Piccosa,553
 Cashmere Nites,554
 Casino Hotel,555
 Castle Rock,556
 CatchUpIno,557
 Cauvery Hyderabadi Biriyani,558
 Cave N Dine,559
 Cedar Bar  Dive  Hotel Presidency,560
 Central Jail Restaurant,561
 Chaai Resto,562
 Chaarcoal,563
 Chaat Street,564
 Chaat Trail By Moti Mahal,565
 Chaatimes,566
 Chai Cafe,567
 Chai Chowk,568
 Chai Days,569
 Chai Galli,570
 Chai Kraft,571
 Chai Mania,572
 Chai Point,573
 Chaitanya Cafe,574
 Chaithanya Delicacy,575
 Chaiwala,576
 Chaiywaala Da Dhaba,577
 Chakh Le Foods,578
 Chakh Le India,579
 Chakum Chukum Calcutta On A Roll,580
 Chandni Chowk 2 Bangalore,581
 Chandrappa Hotel,582
 Chandrika Tiffins,583
 Chandus Delux,584
 Chantilly,585
 Chapati House,586
 Chapter One Bar  Maiin,587
 Charcoal Eats,588
 Charminar Kabab Paradise,589
 Chaska Bun,590
 Chatar Patar,591
 Chatora,592
 Chatora Singh,593
 Chatorezz,594
 Chatori Gali,595
 Chatori Tongue,596
 Chatpatlal Sweets  Snacks,597
 Chavadi,598
 ChawlaS 2 OnlineCom,599
 Checkpost,600
 Cheers Pub Bar  Restro,601
 Cheesiano Pizza,602
 Cheesy Juicy Burgers,603
 Chef BakerS,604
 Chef In,605
 Chef Master,606
 ChefS Gallery,607
 Chefactory Gold By Flechazo,608
 Chefeana,609
 Chefkraft,610
 ChellappaS,611
 ChetaS Kitchen,612
 Chettayees,613
 ChettyS Coffee,614
 ChettyS Corner,615
 Chez Mariannick,616
 Chez Nous  Novotel,617
 Chianti,618
 ChichabaS Taj,619
 Chick Inn,620
 Chicken County,621
 Chicken County Grand,622
 Chicken Hunt,623
 Chicken Man,624
 Chickpet Donne Biryani House,625
 Chikkanna Tiffin Room,626
 ChiliS American Grill  Bar,627
 ChillUm Cafe,628
 ChillerS Nation  Iris Inn,629
 Chillikum,630
 Chime  Sheraton Grand Bengaluru Whitefield Hotel ,631
 Chin Chin By The Biere Club,632
 Chin Lung Resto Bar,633
 Chin Lung RestoBar,634
 China Bistro  Lounge,635
 China Bowl,636
 China Hut,637
 China Pearl,638
 Chinese Street,639
 Chinita Real Mexican Food,640
 ChinmayeeS,641
 Choco Cheese,642
 Chocoberry,643
 Chocolat Boulangerie Patisserie,644
 Chocolate DLuxe,645
 Chokha Chowka,646
 Chopstick Kitchen,647
 Chopstick World,648
 Chord Road RestoBar,649
 Chow San,650
 Chowmein,651
 Chowpatty,652
 Chubalas Curry And Rice,653
 Chugg,654
 Chulha Chauki Da Dhaba,655
 Chullah Bhatti,656
 Chullah Chandigarh,657
 Chumma Delicious,658
 Chung Wah,659
 Chung Wah Express,660
 Chung Wah Opus,661
 ChungS Chinese Corner,662
 Chungs Pavilion,663
 Church Street Social,664
 ChurchillS,665
 Churrascaria Brazil,666
 Chutney Chang,667
 Ciclo Cafe,668
 Cilantro,669
 Cinnamon,670
 Cinnamon  Renaissance Hotel Bengaluru,671
 Cirkus,672
 Cita Pani,673
 Citrus  The Leela Palace,674
 Citrus Cafe  Lemon Tree Hotel,675
 Citrus Cafe  Lemon Tree Premier,676
 City Durbar,677
 Clean Slate Cafe,678
 Cloudnyn  Sterling Mac Hotel,679
 Clove Rooftop,680
 Coast,681
 Coastal Biryani Paradise,682
 Coastal Delight,683
 Coastal Hub,684
 Coastal Inn,685
 Coastal Mama,686
 Coastal Spice,687
 Cobaja,688
 Coco Grove Beer Cafe,689
 Coconadu,690
 Coconut Grove,691
 Coffee Mechanics,692
 Coffee Tea  More,693
 CoffeeArens,694
 Cold Stone Creamery,695
 Communiti,696
 ConnieS Restaurant  Steakhouse,697
 Cookie Man,698
 Cooking Mom,699
 Cool Corner,700
 Cool Joint,701
 Coorg Diaries,702
 Copper Chimney,703
 Corner House Ice Cream,704
 Costa Coffee,705
 Cottage Loaf,706
 Countryside  The Taste Of Chettinad,707
 Crafted Plate,708
 Cravings,709
 Cravy Wings,710
 Crawl Street,711
 Cream  Fudge,712
 Cream Chemistry,713
 Cream N Desserts,714
 Cream Stone,715
 Creamvilla,716
 Creamyum,717
 Crisp Cafe,718
 Cross Road Cafe,719
 Cross Roads Cafe,720
 Crown Gold,721
 Crumb Together,722
 Crunch Pizzas,723
 Crunch Pizzas  Express Delivery,724
 Crunchie Corner,725
 Ctr,726
 Cubbon Pavilion  Itc Gardenia,727
 Cubbonpete Donne Biryani,728
 Cucumber Town,729
 Cup Chronicles Cafe,730
 Cup Shup,731
 Cupcake Couture,732
 Cupcake Noggins,733
 Cuppa,734
 Curries And Pickles,735
 Curry Leaves,736
 Curry With A K  St MarkS Hotel,737
 Currylicious,738
 D View Cafe,739
 D7 Feast Resto Cafe,740
 DZaprino,741
 DadS Cookhouse,742
 DadiS Dum Biryani,743
 Daily Bread,744
 Daily Sushi,745
 Dakshin,746
 Dakshin  Itc Windsor,747
 Dakshin Biryani  Tiffin,748
 Dakshin Cafe,749
 Dakshin Spice,750
 Dal Roti,751
 Dal Roti Sabji,752
 Dal Tadkaa,753
 Dalchini,754
 Dalma,755
 Damodar Seth,756
 Danapani,757
 DandeS Hyderabad Biryani,758
 DaniyalS,759
 Danny Lambas Punjabi Dhaba,760
 Darbar,761
 Dash In,762
 Davanagere Benne Dose,763
 Davangere Benna Dose Hotel,764
 De Grand Restaurant,765
 De Street Cafe,766
 De Thaali,767
 Deccan House,768
 Deccan Spice,769
 DeckerS Lane,770
 Deejas Kitchen,771
 Degchi Restaurant,772
 Dehati Murgee,773
 Deja Vu Resto Bar,774
 Delhi Base Sri Food Court,775
 Delhi Food Point,776
 Delhi Highway,777
 Delhi Ke Bawarchi,778
 Delhi Kitchen,779
 Delhi Mahal,780
 Delhi Mess,781
 Delhi Restaurant,782
 Delhi Walle,783
 DelhiS Essence,784
 Deli Chats And Sweets,785
 Delicacy,786
 Delicious Momos,787
 Delight Food,788
 Delightz,789
 Delite Chaat House,790
 Delitoons,791
 Delitz Creamvilla Cafe,792
 Deshi Fusion Pizza,793
 Desi Bites,794
 Desi Bytes,795
 Desi Cream Junction,796
 Desi Dawat,797
 Desi Deck,798
 Desi Doze,799
 Desi Flavours,800
 Desi Khana,801
 Desi Rasoi,802
 Desi Vdesi,803
 Desi Vibes,804
 Desi Wok,805
 Desipun,806
 Despiwich DragonS Kitchen,807
 Dev Sagar  Food Street,808
 DevS Gugababa,809
 Dhaba  Estd 1986 Delhi,810
 Dhaba Bytes,811
 Dhaba Estd 1986 Delhi,812
 Dhaba Express,813
 Dhaba Shaba,814
 Dhaba Social,815
 Dhadoom,816
 Dhanalakshmi Grand,817
 Dhang Ka Khana,818
 Dhuaan,819
 Dhyaana,820
 Dialogues,821
 Dice N Dine,822
 Dil Punjabi,823
 Dil Se Dilli,824
 Dil Se Punjabi,825
 Dilish Kitchens,826
 Dilli Darbar,827
 Dilli Dil Se,828
 Dilli Galli,829
 Dindigul Thalappakatti,830
 Dinepost9,831
 Dive,832
 Divina  Eden Park Restaurants,833
 Django,834
 Dock FrostD,835
 Doff Pub And Lounge,836
 Dolci Desserts,837
 Dolphin Bar,838
 DominoS Pizza,839
 Doner Bel,840
 Donne Biriyani House,841
 Donne Biriyani Mane,842
 Donne Biryani Kuteera,843
 Donut Cafe,844
 Doof,845
 Dosa Bazaar,846
 Dosa Plaza,847
 Dosa Time,848
 DotYum  Aloft Hotel,849
 Double Decker,850
 Downtown,851
 Dr Bubbles,852
 Dr Sheesha,853
 Draggers Cafe,854
 DragonS Kitchen,855
 Drava,856
 Dream A Dozen,857
 Dreamcatcher,858
 Dreams Cafe  All Day English Food St,859
 Driven Cafe,860
 Drunken Monkey,861
 Drunkling  Sizzlers And Pub,862
 Dublin  Itc Windsor,863
 Dum Biryani Hub,864
 Dum Pukht Jolly Nabobs  Itc Windsor,865
 Dunkin Donuts,866
 Dwaraka Grand,867
 Dwaraka Krishna,868
 Dyu Art Cafe,869
 Earthen Bowl,870
 East Delicious,871
 East The Oterra,872
 Easy Bites,873
 Easy Tiger,874
 Eat At Nite,875
 Eat Eroo  Bombay Vada Pav,876
 Eat Eroo  South China,877
 Eat N Drink,878
 Eat Repeat,879
 Eat Street,880
 Eat Well,881
 EatFit,882
 Eatapita,883
 Eating Love,884
 Eatsomnia,885
 Eatwater,886
 Eatzgreen,887
 Ebony,888
 Echoes Koramangala,889
 EddyS Cafe,890
